accommodation_id,name,accommodation_type,gender_preference,latitude,longitude,monthly_rent,wifi,ac,food_mess,laundry,monthly_rent_numeric,dist_mnit_jaipur_jln_marg_km,dist_jagatpura_education_belt_km,dist_vaishali_nagar_tech_corridor_km,distance_to_nearest_hub_km,nearest_hub,total_amenities,rent_normalized,vfm_index,monthly_rent_numeric_scaled,distance_to_nearest_hub_km_scaled,total_amenities_scaled,vfm_index_scaled
JPR0103,Blue Orchid Heights,Hostel,Girls,26.822868,75.845327,Rs. 9300,0,0,0,0,9300.0,3.86,0.88,14.66,0.88,Jagatpura Education Belt,0,0.35,0.0,-0.07113306321191529,-0.7228668294617586,-1.6687709770594055,-1.2554905267507386
JPR0104,Copper Leaf Residency,PG,Boys,26.890743,75.81873,7300,1,0,1,1,7300.0,5.43,8.87,8.47,5.43,MNIT Jaipur (JLN Marg),3,0.225,10.91,-0.6178898903596101,0.8560814841014618,0.785303989204426,1.2221614521021187
JPR0105,Prime Palace,PG,Co-ed,26.854327,75.869649,INR 5500/month,1,0,0,0,5500.0,5.78,4.73,14.67,4.73,Jagatpura Education Belt,1,0.1125,6.15,-1.1099710347925353,0.6131663589378897,-0.8507459883047949,0.14116938800133047
JPR0106,Sunshine Enclave,Hostel,Co-ed,26.894664,75.779454,10400,0,0,1,1,10400.0,6.72,11.18,4.66,4.66,Vaishali Nagar Tech Corridor,2,0.41875,4.27,0.22958319171931682,0.5888748464215323,-0.03272099955018445,-0.285777057483855
JPR0107,Blue Orchid Point,PG,Girls,26.950996,75.747076,7500 per month,0,0,0,1,7500.0,13.75,18.14,4.42,4.42,Vaishali Nagar Tech Corridor,1,0.2375,3.48,-0.5632142076448405,0.5055896606511646,-0.8507459883047949,-0.4651854042568849
JPR0108,Zenith Stay,Hostel,Boys,26.818359,75.872109,Rs. 9400,1,0,0,0,9400.0,6.44,2.27,17.01,2.27,Jagatpura Education Belt,1,0.35625,2.46,-0.043795221854530546,-0.2405067952083791,-0.8507459883047949,-0.696826560849911
JPR0109,Golden Nest Villa,PG,Girls,26.818362,75.850907,7400,0,0,0,1,7400.0,4.6,0.32,15.4,0.32,Jagatpura Education Belt,1,0.23125,3.56,-0.5905520490022252,-0.9171989295926165,-0.8507459883047949,-0.44701747040645146
JPR0110,Urban Residency,PG,Boys,26.801436,75.874805,9100 per month,1,1,0,1,9100.0,7.63,2.98,18.42,2.98,Jagatpura Education Belt,3,0.3375,7.74,-0.12580874592668476,0.00587854602895859,0.785303989204426,0.5022570732786946
JPR0111,Cozy Homes,PG,Co-ed,26.842441,75.862397,8400,1,1,0,0,8400.0,4.9,3.23,14.68,3.23,Jagatpura Education Belt,2,0.29375,5.82,-0.3171736354283779,0.09263394787309158,-0.03272099955018445,0.06622666086829261
JPR0112,Sunshine Court,Hostel,Co-ed,26.807531,75.847052,INR 7700/month,1,0,1,0,7700.0,5.13,0.95,15.98,0.95,Jagatpura Education Belt,2,0.25,6.67,-0.5085385249300711,-0.6985753169454012,-0.03272099955018445,0.2592609580291476
JPR0113,Green Valley Stay,PG,Boys,26.923959,75.750126,INR 5700/month,0,0,0,1,5700.0,11.02,15.54,1.85,1.85,Vaishali Nagar Tech Corridor,1,0.125,5.71,-1.055295352077766,-0.38625587030652253,-0.8507459883047949,0.041245751823946596
JPR0114,Crimson Homes,Hostel,Girls,26.8325,75.833106,INR 7500/month,1,0,1,0,7500.0,2.27,2.46,13.04,2.27,MNIT Jaipur (JLN Marg),2,0.2375,6.96,-0.5632142076448405,-0.2405067952083791,-0.03272099955018445,0.3251197182369687
JPR0115,Green Valley Heights,PG,Boys,26.914603,75.760827,INR 9800/month,0,1,1,1,9800.0,9.57,14.07,2.4,2.4,Vaishali Nagar Tech Corridor,3,0.38125,6.96,0.0655561435750084,-0.19539398624942997,0.785303989204426,0.3251197182369687
JPR0116,Elite Residency,Hostel,Girls,26.755368,75.871422,"₹9,200/month",1,1,1,1,9200.0,11.26,7.07,21.98,7.07,Jagatpura Education Belt,4,0.34375,10.16,-0.09847090456930002,1.4251969201989745,1.6033289779590365,1.0518370722543056
JPR0117,Ivory Heights,Hostel,Boys,26.912642,75.736415,10900 per month,1,0,0,0,10900.0,10.91,15.54,0.05,0.05,Vaishali Nagar Tech Corridor,1,0.45,2.0,0.3662723985062405,-1.0108947635842802,-0.8507459883047949,-0.8012921804899031
JPR0118,Urban Stay,PG,Girls,26.928027,75.729697,9400 per month,1,0,1,0,9400.0,12.62,17.22,1.89,1.89,Vaishali Nagar Tech Corridor,2,0.35625,4.92,-0.043795221854530546,-0.3723750060114613,-0.03272099955018445,-0.13816259494908342
JPR0119,Highland Court,Hostel,Boys,26.925732,75.899546,INR 17200/month,0,1,1,0,17200.0,12.65,13.2,16.2,12.65,MNIT Jaipur (JLN Marg),2,0.84375,2.24,2.088556404021479,3.3615774893600228,-0.03272099955018445,-0.7467883789386028
JPR0120,Highland Residency,PG,Boys,26.843248,75.802162,"₹5,300/month",0,0,0,0,5300.0,1.08,5.59,10.05,1.08,MNIT Jaipur (JLN Marg),0,0.1,0.0,-1.1646467175073048,-0.6534625079864521,-1.6687709770594055,-1.2554905267507386
JPR0121,Copper Leaf Point,PG,Girls,26.804315,75.851036,INR 13700/month,1,0,1,0,13700.0,5.66,1.29,16.51,1.29,Jagatpura Education Belt,2,0.625,2.96,1.131731956513013,-0.5805879704373804,-0.03272099955018445,-0.5832769742847022
JPR0122,Silver Oak Nest,PG,Boys,26.888051,75.872209,"₹9,100/month",1,1,1,0,9100.0,7.78,8.35,13.7,7.78,MNIT Jaipur (JLN Marg),3,0.3375,7.74,-0.12580874592668476,1.6715822614363123,0.785303989204426,0.5022570732786946
JPR0123,Sunshine Palace,Hostel,Girls,26.922983,75.632911,INR 5300/month,1,0,0,1,5300.0,19.99,24.56,10.37,10.37,Vaishali Nagar Tech Corridor,2,0.1,13.33,-1.1646467175073048,2.5703682245415296,-0.03272099955018445,1.7717414510777296
JPR0124,Prime Retreat,Independent Flat,Boys,26.805075,75.855874,Rs. 6300,1,0,0,0,6300.0,5.93,1.35,16.78,1.35,Jagatpura Education Belt,1,0.1625,4.71,-0.8912683039334575,-0.5597666739947885,-0.8507459883047949,-0.18585342130647112
JPR0125,Silver Oak Villa,Hostel,Girls,26.914423,75.770507,Rs. 5000,0,0,0,0,5000.0,9.07,13.47,3.35,3.35,Vaishali Nagar Tech Corridor,0,0.08125,0.0,-1.246660241579459,0.13427654075827547,-1.6687709770594055,-1.2554905267507386
JPR0126,Sunrise Nest,Hostel,Co-ed,26.814189,75.851739,10000,0,0,0,1,10000.0,4.95,0.29,15.78,0.29,Jagatpura Education Belt,1,0.39375,2.25,0.12023182628977788,-0.9276095778139124,-0.8507459883047949,-0.7445173872072987
JPR0127,Cozy Homes,Hostel,Co-ed,26.910112,75.744993,,1,0,1,1,9100.0,10.13,14.74,0.85,0.85,Vaishali Nagar Tech Corridor,3,0.3375,7.74,-0.12580874592668476,-0.7332774776830545,0.785303989204426,0.5022570732786946
JPR0128,Royal Enclave,PG,Co-ed,26.801394,75.689261,7800 per month,0,0,1,0,7800.0,13.09,15.97,13.2,13.09,MNIT Jaipur (JLN Marg),1,0.25625,3.27,-0.48120068357268636,3.514266996605697,-0.8507459883047949,-0.5128762306142727
JPR0129,Silver Oak Retreat,Independent Flat,Co-ed,26.842605,75.812965,9000,1,1,0,1,9000.0,0.05,4.69,10.82,0.05,MNIT Jaipur (JLN Marg),3,0.33125,7.87,-0.1531465872840695,-1.0108947635842802,0.785303989204426,0.5317799657856489
JPR0130,Sunshine House,PG,Boys,26.832804,75.822363,Rs. 10900,1,0,1,1,10900.0,1.4,3.28,12.25,1.4,MNIT Jaipur (JLN Marg),3,0.45,6.0,0.3662723985062405,-0.5424155936259619,0.785303989204426,0.10710451203176774
JPR0131,Silver Oak Nest,Independent Flat,Boys,26.82088,75.877558,INR 4600/month,0,0,0,0,4600.0,6.83,2.85,17.27,2.85,Jagatpura Education Belt,0,0.05625,0.0,-1.356011607008998,-0.03923426292999053,-1.6687709770594055,-1.2554905267507386
JPR0132,Silver Oak Retreat,Hostel,Girls,26.85747,75.739363,6800,1,0,0,0,6800.0,7.5,11.86,6.1,6.1,Vaishali Nagar Tech Corridor,1,0.19375,4.1,-0.7545790971465337,1.0885859610437383,-0.8507459883047949,-0.324383916916026
JPR0133,Maple Manor,Hostel,Co-ed,26.813967,75.85057,INR 9700/month,1,0,1,1,9700.0,4.87,0.23,15.71,0.23,Jagatpura Education Belt,3,0.375,7.06,0.038218302217623665,-0.9484308742565043,0.785303989204426,0.34782963555001045
JPR0134,Crimson Heights,Hostel,Co-ed,26.886948,75.794849,Rs. 6700,0,0,0,0,6700.0,5.29,9.59,6.41,5.29,MNIT Jaipur (JLN Marg),0,0.1875,0.0,-0.7819169385039184,0.8074984590687475,-1.6687709770594055,-1.2554905267507386
JPR0135,Cozy Enclave,PG,Boys,26.852828,75.814951,4300,0,0,0,0,4300.0,1.2,5.35,10.19,1.2,MNIT Jaipur (JLN Marg),0,0.0375,0.0,-1.4380251310811523,-0.6118199151012683,-1.6687709770594055,-1.2554905267507386
JPR0136,Prime Address,Hostel,Boys,26.81991,75.849144,Rs. 11900,0,0,0,0,11900.0,4.36,0.46,15.16,0.46,Jagatpura Education Belt,0,0.5125,0.0,0.6396508120800879,-0.868615904559902,-1.6687709770594055,-1.2554905267507386
JPR0137,Ivory Retreat,PG,Boys,26.821355,75.847058,"₹8,900/month",0,0,0,0,8900.0,4.1,0.66,14.9,0.66,Jagatpura Education Belt,0,0.325,0.0,-0.18048442864145423,-0.7992115830845955,-1.6687709770594055,-1.2554905267507386
JPR0138,Royal Address,Hostel,Co-ed,26.823787,75.796416,Rs. 14100,1,1,1,0,14100.0,2.63,5.33,11.48,2.63,MNIT Jaipur (JLN Marg),3,0.65,4.29,1.241083321942552,-0.11557901655282764,0.785303989204426,-0.28123507402124653
JPR0139,Highland Nest,Hostel,Girls,26.817762,75.867408,INR 15300/month,1,1,0,1,15300.0,6.04,1.8,16.68,1.8,Jagatpura Education Belt,3,0.725,3.87,1.569137418231169,-0.40360695067534913,0.785303989204426,-0.376616726736022
JPR0140,Crimson Residency,Independent Flat,Boys,26.788836,75.728507,8100 per month,1,0,0,1,8100.0,10.27,12.37,13.75,10.27,MNIT Jaipur (JLN Marg),2,0.275,6.15,-0.39918715950053213,2.5356660638038764,-0.03272099955018445,0.14116938800133047
JPR0141,Silver Oak Point,Hostel,Girls,26.791016,75.851509,Rs. 8700,1,0,1,0,8700.0,6.86,2.76,17.65,2.76,Jagatpura Education Belt,2,0.3125,5.52,-0.23516011135622372,-0.07046620759387852,-0.03272099955018445,-0.0019030910708328623
JPR0142,Prime Residency,PG,Girls,26.921373,75.74067,9300 per month,1,1,1,1,9300.0,11.36,15.94,1.08,1.08,Vaishali Nagar Tech Corridor,4,0.35,10.0,-0.07113306321191529,-0.6534625079864521,1.6033289779590365,1.0155012045534386
JPR0143,Silver Oak Manor,PG,Co-ed,26.970646,75.67822,"₹8,300/month",1,0,0,1,8300.0,19.56,24.18,8.71,8.71,Vaishali Nagar Tech Corridor,2,0.2875,5.93,-0.34451147678576266,1.994312356296487,-0.03272099955018445,0.09120756991263844
JPR0144,Maple Residency,Hostel,Boys,26.971451,75.734677,5000,1,0,0,1,5000.0,16.34,20.71,6.58,6.58,Vaishali Nagar Tech Corridor,2,0.08125,15.24,-1.246660241579459,1.2551563325844737,-0.03272099955018445,2.2055008717568274
JPR0145,Silver Oak Enclave,PG,Co-ed,26.90888,75.739728,10300,1,1,0,1,10300.0,10.38,15.02,0.48,0.48,Vaishali Nagar Tech Corridor,3,0.4125,6.49,0.20224535036193209,-0.8616754724123713,0.785303989204426,0.21838310686567247
JPR0146,Maple House,PG,Girls,26.901661,75.702982,,1,0,1,1,9100.0,12.76,17.38,3.56,3.56,Vaishali Nagar Tech Corridor,3,0.3375,7.74,-0.12580874592668476,0.20715107830734716,0.785303989204426,0.5022570732786946
JPR0147,Comfort House,Hostel,Co-ed,26.843713,75.809137,8000,0,0,0,0,8000.0,0.42,5.06,10.47,0.42,MNIT Jaipur (JLN Marg),0,0.26875,0.0,-0.4265250008579169,-0.8824967688549633,-1.6687709770594055,-1.2554905267507386
JPR0148,Highland Address,Hostel,Co-ed,26.913237,75.743133,Rs. 12300,1,1,1,0,12300.0,10.51,15.12,0.64,0.64,Vaishali Nagar Tech Corridor,3,0.5375,5.11,0.7490021775096268,-0.8061520152321262,0.785303989204426,-0.09501375205430396
JPR0149,Prime Homes,Hostel,Boys,26.897832,75.726078,8300 per month,0,1,0,1,8300.0,10.61,15.26,1.93,1.93,Vaishali Nagar Tech Corridor,2,0.2875,5.93,-0.34451147678576266,-0.3584941417164,-0.03272099955018445,0.09120756991263844
JPR0150,Sunshine Homes,PG,Boys,26.928702,75.748716,INR 7000/month,0,1,1,0,7000.0,11.54,16.04,2.17,2.17,Vaishali Nagar Tech Corridor,2,0.20625,7.8,-0.6999034144317643,-0.27520895594603234,-0.03272099955018445,0.5158830236665196
JPR0151,Crimson Palace,Hostel,Girls,26.943041,75.738432,Rs. 4900,0,0,1,0,4900.0,13.43,17.93,3.42,3.42,Vaishali Nagar Tech Corridor,1,0.075,8.0,-1.2739980829368438,0.15856805327463264,-0.8507459883047949,0.5613028582926032
JPR0152,Ivory Address,PG,Boys,26.818191,75.847148,Rs. 4900,0,0,0,1,4900.0,4.31,0.35,15.14,0.35,Jagatpura Education Belt,1,0.075,8.0,-1.2739980829368438,-0.9067882813713205,-0.8507459883047949,0.5613028582926032
JPR0153,Zenith Court,Hostel,Co-ed,26.887649,75.753077,Rs. 5400,1,0,0,0,5400.0,7.8,12.46,3.18,3.18,Vaishali Nagar Tech Corridor,1,0.10625,6.4,-1.1373088761499202,0.07528286750426505,-0.8507459883047949,0.1979441812839349
JPR0154,Prime Homes,PG,Girls,26.891355,75.702124,INR 4600/month,1,1,0,0,4600.0,12.28,16.85,4.15,4.15,Vaishali Nagar Tech Corridor,2,0.05625,18.82,-1.356011607008998,0.41189382665950114,-0.03272099955018445,3.018515911563723
JPR0155,Comfort Manor,Independent Flat,Co-ed,26.871189,75.699137,"₹17,800/month",1,1,1,1,17800.0,11.75,16.13,5.9,5.9,Vaishali Nagar Tech Corridor,4,0.88125,4.3,2.2525834521657875,1.019181639568432,1.6033289779590365,-0.2789640822899424
JPR0156,Maple Court,PG,Boys,26.904061,75.746312,4300,0,0,0,0,4300.0,9.54,14.17,1.31,1.31,Vaishali Nagar Tech Corridor,0,0.0375,0.0,-1.4380251310811523,-0.5736475382898498,-1.6687709770594055,-1.2554905267507386
JPR0157,Zenith House,PG,Boys,26.841074,75.805513,10300 per month,1,1,1,1,10300.0,0.75,5.18,10.45,0.75,MNIT Jaipur (JLN Marg),4,0.4125,8.65,0.20224535036193209,-0.7679796384207077,1.6033289779590365,0.7089173208273748
JPR0158,Silver Oak Manor,Hostel,Girls,26.829269,75.857827,,0,0,1,1,9100.0,4.67,1.72,15.14,1.72,Jagatpura Education Belt,2,0.3375,5.16,-0.12580874592668476,-0.4313686792654717,-0.03272099955018445,-0.08365879339778311
JPR0159,Silver Oak Heights,Hostel,Boys,26.839919,75.807266,12200 per month,1,1,1,1,12200.0,0.62,4.97,10.66,0.62,MNIT Jaipur (JLN Marg),4,0.53125,6.88,0.7216643361522421,-0.8130924473796568,1.6033289779590365,0.3069517843865353
JPR0160,Zenith Point,PG,Girls,26.816859,75.847792,7000,0,0,1,1,7000.0,4.46,0.2,15.29,0.2,Jagatpura Education Belt,2,0.20625,7.8,-0.6999034144317643,-0.9588415224778002,-0.03272099955018445,0.5158830236665196
JPR0161,Maple Address,Hostel,Co-ed,26.897021,75.738901,INR 12200/month,1,0,1,1,12200.0,9.55,14.2,1.71,1.71,Vaishali Nagar Tech Corridor,3,0.53125,5.16,0.7216643361522421,-0.43483889533923703,0.785303989204426,-0.08365879339778311
JPR0162,Comfort Heights,PG,Girls,26.921441,75.716581,Rs. 13600,1,1,1,1,13600.0,13.0,17.65,2.25,2.25,Vaishali Nagar Tech Corridor,4,0.61875,5.98,1.1043941151556285,-0.24744722735590974,1.6033289779590365,0.10256252856915948
JPR0163,Cozy Retreat,Independent Flat,Co-ed,26.837993,75.803296,Rs. 14600,1,1,0,1,14600.0,1.07,5.2,10.57,1.07,MNIT Jaipur (JLN Marg),3,0.68125,4.1,1.3777725287294758,-0.6569327240602174,0.785303989204426,-0.324383916916026
JPR0164,Zenith Nest,Hostel,Boys,26.840194,75.833934,INR 7300/month,0,0,0,0,7300.0,2.09,3.12,12.53,2.09,MNIT Jaipur (JLN Marg),0,0.225,0.0,-0.6178898903596101,-0.3029706845361549,-1.6687709770594055,-1.2554905267507386
JPR0165,Royal House,PG,Boys,26.829745,75.798524,"₹15,400/month",1,1,1,1,15400.0,2.0,5.28,11.03,2.0,MNIT Jaipur (JLN Marg),4,0.73125,5.12,1.5964752595885536,-0.33420262920004273,1.6033289779590365,-0.09274276032299983
JPR0166,Silver Oak Manor,Hostel,Co-ed,26.830093,75.827525,"₹9,100/month",1,1,1,0,9100.0,1.97,2.69,12.83,1.97,MNIT Jaipur (JLN Marg),3,0.3375,7.74,-0.12580874592668476,-0.3446132774213387,0.785303989204426,0.5022570732786946
JPR0167,Sunrise Nest,PG,Co-ed,26.830435,75.763755,10100 per month,0,0,1,0,10100.0,5.06,8.65,9.49,5.06,MNIT Jaipur (JLN Marg),1,0.4,2.22,0.14756966764716262,0.727683489372145,-0.8507459883047949,-0.7513303624012112
JPR0168,Ivory Stay,PG,Girls,26.802559,75.80609,,0,0,0,0,9100.0,4.46,4.54,14.01,4.46,MNIT Jaipur (JLN Marg),0,0.3375,0.0,-0.12580874592668476,0.5194705249462259,-1.6687709770594055,-1.2554905267507386
JPR0169,Amber Retreat,Independent Flat,Co-ed,26.823333,75.793487,"₹6,100/month",0,0,1,1,6100.0,2.85,5.61,11.38,2.85,MNIT Jaipur (JLN Marg),2,0.15,10.0,-0.9459439866482269,-0.03923426292999053,-0.03272099955018445,1.0155012045534386
JPR0170,Maple Nest,Hostel,Girls,26.832894,75.879005,INR 9600/month,0,0,1,1,9600.0,6.63,3.5,16.64,3.5,Jagatpura Education Belt,2,0.36875,4.78,0.010880460860238927,0.1863297818647552,-0.03272099955018445,-0.16995647918734183
JPR0171,Sunrise House,PG,Boys,26.875404,75.77428,8200,1,0,1,0,8200.0,5.33,9.97,5.54,5.33,MNIT Jaipur (JLN Marg),2,0.28125,6.04,-0.3718493181431474,0.8213793233638088,-0.03272099955018445,0.11618847895698446
JPR0172,Royal Enclave,PG,Boys,26.842507,75.812334,,1,1,0,1,9100.0,0.07,4.73,10.79,0.07,MNIT Jaipur (JLN Marg),3,0.3375,7.74,-0.12580874592668476,-1.0039543314367496,0.785303989204426,0.5022570732786946
JPR0173,Sunrise Enclave,PG,Co-ed,26.840616,75.815996,,0,0,0,1,9100.0,0.35,4.31,11.19,0.35,MNIT Jaipur (JLN Marg),1,0.3375,2.58,-0.12580874592668476,-0.9067882813713205,-0.8507459883047949,-0.6695746600742608
JPR0174,Elite Residency,Independent Flat,Boys,26.832097,75.87848,Rs. 9700,1,1,1,0,9700.0,6.59,3.41,16.64,3.41,Jagatpura Education Belt,3,0.375,7.06,0.038218302217623665,0.1550978372008674,0.785303989204426,0.34782963555001045
JPR0175,Golden Nest Villa,PG,Girls,26.834733,75.812007,INR 7400/month,0,0,1,0,7400.0,0.84,4.27,11.4,0.84,MNIT Jaipur (JLN Marg),1,0.23125,3.56,-0.5905520490022252,-0.7367476937568199,-0.8507459883047949,-0.44701747040645146
JPR0176,Sunshine Address,PG,Girls,26.831738,75.850117,INR 10700/month,1,1,0,1,10700.0,3.86,1.77,14.37,1.77,Jagatpura Education Belt,3,0.4375,6.15,0.311596715791471,-0.4140175988966451,0.785303989204426,0.14116938800133047
JPR0177,Serene House,PG,Girls,26.836546,75.807275,7500 per month,1,0,0,1,7500.0,0.85,4.77,10.95,0.85,MNIT Jaipur (JLN Marg),2,0.2375,6.96,-0.5632142076448405,-0.7332774776830545,-0.03272099955018445,0.3251197182369687
JPR0178,Cozy Homes,PG,Girls,26.75529,75.77553,Rs. 7200,0,0,1,1,7200.0,10.35,9.95,17.88,9.95,Jagatpura Education Belt,2,0.21875,7.44,-0.6452277317169948,2.4246191494433864,-0.03272099955018445,0.4341273213395693
JPR0179,Sunshine Stay,PG,Boys,26.807157,75.819481,10900 per month,1,0,0,0,10900.0,3.95,3.12,14.28,3.12,Jagatpura Education Belt,1,0.45,2.0,0.3662723985062405,0.05446157106167311,-0.8507459883047949,-0.8012921804899031
JPR0180,Comfort Address,PG,Boys,26.84546,75.793743,Rs. 11800,1,1,1,1,11800.0,1.94,6.43,9.33,1.94,MNIT Jaipur (JLN Marg),4,0.50625,7.19,0.6123129707227032,-0.3550239256426347,1.6033289779590365,0.3773525280569649
JPR0181,Royal Enclave,PG,Girls,26.912476,75.733949,5000 per month,1,0,0,1,5000.0,11.07,15.71,0.28,0.28,Vaishali Nagar Tech Corridor,2,0.08125,15.24,-1.246660241579459,-0.9310797938876777,-0.03272099955018445,2.2055008717568274
JPR0182,Cozy Stay,PG,Girls,26.859279,75.808467,4300 per month,1,0,0,0,4300.0,1.95,6.31,9.23,1.95,MNIT Jaipur (JLN Marg),1,0.0375,11.43,-1.4380251310811523,-0.35155370956886933,-0.8507459883047949,1.3402530221299358
JPR0183,Copper Leaf Homes,Independent Flat,Girls,26.825212,75.819177,8100,0,0,0,0,8100.0,1.99,3.18,12.67,1.99,MNIT Jaipur (JLN Marg),0,0.275,0.0,-0.39918715950053213,-0.3376728452738081,-1.6687709770594055,-1.2554905267507386
JPR0184,Prime Stay,PG,Girls,26.955046,75.702552,7200 per month,0,0,0,0,7200.0,16.66,21.26,5.84,5.84,Vaishali Nagar Tech Corridor,0,0.21875,0.0,-0.6452277317169948,0.99836034312584,-1.6687709770594055,-1.2554905267507386
JPR0185,Royal Address,Hostel,Boys,26.88858,75.672137,INR 5300/month,0,1,1,0,5300.0,14.89,19.36,6.93,6.93,Vaishali Nagar Tech Corridor,2,0.1,13.33,-1.1646467175073048,1.3766138951662599,-0.03272099955018445,1.7717414510777296
JPR0186,Silver Oak Enclave,Hostel,Co-ed,26.841702,75.814683,13600 per month,1,1,1,0,13600.0,0.18,4.49,11.01,0.18,MNIT Jaipur (JLN Marg),3,0.61875,4.49,1.1043941151556285,-0.9657819546253309,0.785303989204426,-0.23581523939516297
JPR0187,Sunrise Villa,Hostel,Girls,26.841092,75.862164,Rs. 8000,0,0,0,1,8000.0,4.88,3.08,14.74,3.08,Jagatpura Education Belt,1,0.26875,3.14,-0.4265250008579169,0.04058070676661182,-0.8507459883047949,-0.542399123121227
JPR0188,Cozy Nest,Independent Flat,Boys,26.901162,75.754962,6100 per month,1,0,1,0,6100.0,8.72,13.34,2.19,2.19,Vaishali Nagar Tech Corridor,2,0.15,10.0,-0.9459439866482269,-0.2682685237985017,-0.03272099955018445,1.0155012045534386
JPR0189,Serene Villa,PG,Girls,26.836751,75.856339,"₹10,300/month",0,1,1,1,10300.0,4.34,2.43,14.53,2.43,Jagatpura Education Belt,3,0.4125,6.49,0.20224535036193209,-0.18498333802813394,0.785303989204426,0.21838310686567247
JPR0190,Highland Court,PG,Co-ed,26.957879,75.728206,Rs. 9800,1,0,0,0,9800.0,15.37,19.85,5.14,5.14,Vaishali Nagar Tech Corridor,1,0.38125,2.32,0.0655561435750084,0.7554452179622676,-0.8507459883047949,-0.7286204450881695
JPR0191,Copper Leaf House,PG,Co-ed,26.912129,75.649159,"₹7,200/month",1,0,1,1,7200.0,18.01,22.57,8.69,8.69,Vaishali Nagar Tech Corridor,3,0.21875,11.16,-0.6452277317169948,1.987371924148956,0.785303989204426,1.2789362453847233
JPR0192,Green Valley Court,PG,Boys,26.778619,75.846818,Rs. 7000,0,0,0,0,7000.0,7.83,4.14,18.44,4.14,Jagatpura Education Belt,0,0.20625,0.0,-0.6999034144317643,0.40842361058573556,-1.6687709770594055,-1.2554905267507386
JPR0193,Elite Manor,Hostel,Girls,26.755409,75.684867,INR 7200/month,0,0,1,1,7200.0,15.96,17.66,18.19,15.96,MNIT Jaipur (JLN Marg),2,0.21875,7.44,-0.6452277317169948,4.510219009776344,-0.03272099955018445,0.4341273213395693
JPR0194,Ivory Nest,Hostel,Boys,26.807016,75.850103,INR 8000/month,0,0,0,0,8000.0,5.37,0.98,16.23,0.98,Jagatpura Education Belt,0,0.26875,0.0,-0.4265250008579169,-0.6881646687241053,-1.6687709770594055,-1.2554905267507386
JPR0195,Comfort Stay,Independent Flat,Boys,26.828713,75.779072,INR 7000/month,1,0,0,0,7000.0,3.69,7.12,10.2,3.69,MNIT Jaipur (JLN Marg),1,0.20625,3.9,-0.6999034144317643,0.2522638872662963,-0.8507459883047949,-0.3698037515421095
JPR0196,Blue Orchid Residency,PG,Girls,26.840233,75.82774,"₹17,300/month",1,1,1,1,17300.0,1.48,3.46,12.07,1.48,MNIT Jaipur (JLN Marg),4,0.85,4.44,2.115894245378864,-0.5146538650358393,1.6033289779590365,-0.2471701980516838
JPR0197,Serene Nest,Independent Flat,Girls,26.799499,75.800077,6900,0,0,0,0,6900.0,4.92,5.22,14.03,4.92,MNIT Jaipur (JLN Marg),0,0.2,0.0,-0.727241255789149,0.6791004643394306,-1.6687709770594055,-1.2554905267507386
JPR0198,Prime Nest,PG,Co-ed,26.849305,75.715997,Rs. 9000,0,0,1,1,9000.0,9.66,13.75,7.3,7.3,Vaishali Nagar Tech Corridor,2,0.33125,5.25,-0.1531465872840695,1.5050118898955767,-0.03272099955018445,-0.06321986781604555
JPR0199,Royal Retreat,PG,Boys,26.924858,75.83261,INR 11700/month,1,0,0,1,11700.0,9.39,12.24,9.6,9.39,MNIT Jaipur (JLN Marg),2,0.5,3.64,0.5849751293653184,2.230287049312529,-0.03272099955018445,-0.42884953655601804
JPR0200,Prime Point,PG,Boys,26.917182,75.739918,Rs. 7100,1,0,1,1,7100.0,11.05,15.65,0.62,0.62,Vaishali Nagar Tech Corridor,3,0.2125,11.43,-0.6725655730743795,-0.8130924473796568,0.785303989204426,1.3402530221299358
JPR0201,Serene Court,Hostel,Girls,26.89779,75.713014,"₹15,700/month",1,1,1,1,15700.0,11.69,16.31,2.86,2.86,Vaishali Nagar Tech Corridor,4,0.75,5.0,1.6784887836607079,-0.035764046856225286,1.6033289779590365,-0.11999466109864998
JPR0202,Elite Heights,PG,Boys,26.822649,75.846952,6900,1,1,0,1,6900.0,4.01,0.8,14.79,0.8,Jagatpura Education Belt,3,0.2,12.0,-0.727241255789149,-0.7506285580518812,0.785303989204426,1.469699550814274
JPR0203,Sunshine Villa,Independent Flat,Boys,26.81244,75.851105,"₹8,400/month",1,1,0,0,8400.0,5.02,0.41,15.87,0.41,Jagatpura Education Belt,2,0.29375,5.82,-0.3171736354283779,-0.8859669849287285,-0.03272099955018445,0.06622666086829261
JPR0204,Elite Villa,Independent Flat,Boys,26.957596,75.77234,Rs. 13400,1,1,0,1,13400.0,13.45,17.52,6.15,6.15,Vaishali Nagar Tech Corridor,3,0.60625,4.57,1.049718432440859,1.105937041412565,0.785303989204426,-0.21764730554472952
JPR0205,Crimson Palace,Independent Flat,Girls,26.893965,75.75222,11700,1,1,0,1,11700.0,8.34,12.98,2.55,2.55,Vaishali Nagar Tech Corridor,3,0.5,5.45,0.5849751293653184,-0.14334074514295023,0.785303989204426,-0.017800033189961966
JPR0206,Crimson House,PG,Boys,26.822982,75.848587,18400,1,0,1,1,18400.0,4.13,0.8,14.89,0.8,Jagatpura Education Belt,3,0.91875,3.1,2.416610500310096,-0.7506285580518812,0.785303989204426,-0.5514830900464436
